,Country,Mean_temp,Max_Temp,Min_Temp,Precipitation
0,Germany,18.863333333333333,24.293333333333333,13.485333333333335,71.35000000000001
1,Belgium,18.862666666666666,24.304666666666662,13.472,68.49799999999999
2,Croatia,21.68466666666667,27.698000000000004,15.722000000000001,93.60666666666667
3,Denmark,16.773333333333337,21.05666666666667,12.532666666666666,71.926
4,Spain,22.566000000000003,29.76066666666667,15.418,23.903333333333332
5,France,19.996666666666666,25.609333333333336,14.436666666666667,53.464666666666666
6,Ireland,14.629333333333335,18.59466666666667,10.713333333333333,89.306
7,Latvia,17.272000000000002,22.212666666666667,12.381333333333332,77.316
8,Luxembourg,18.934,24.60066666666667,13.316666666666665,60.75333333333333
9,Netherlands,18.206000000000003,23.366666666666664,13.095999999999998,67.53133333333332
10,Sweden,13.693999999999997,18.904,8.530666666666667,70.59400000000001
11,Bulgaria,22.286,28.55066666666666,16.069333333333333,61.48666666666666
12,Slovakia,18.771333333333335,25.13066666666667,12.458666666666666,96.56133333333334
13,Estonia,16.872666666666667,21.577333333333332,12.217333333333334,76.53466666666667
14,Greece,23.836000000000002,30.040666666666667,17.682666666666666,33.78133333333333
15,Malta,26.691999999999997,30.524,22.909999999999997,2.5046666666666666
16,Poland,18.962666666666667,24.54733333333333,13.426,74.14200000000001
17,Czech Republic,18.936666666666667,24.798666666666666,13.124,79.824
18,Austria,16.882,21.832000000000004,11.984666666666667,152.85466666666665
19,Cyprus,27.860000000000003,33.38933333333333,22.384000000000004,3.355333333333333
20,Slovenia,19.385333333333335,24.912666666666667,13.904000000000002,148.064
21,Finland,14.741999999999999,19.759333333333334,9.778,68.61800000000001
22,Hungary,21.908,28.352,15.51,74.46333333333334
23,Italy,21.884666666666664,26.570666666666668,17.25,56.946000000000005
24,Lituania,17.938666666666666,23.236666666666668,12.693999999999997,77.59333333333332
25,Portugal,22.445333333333334,29.234666666666666,15.707999999999998,13.174
26,Romania,20.986666666666668,27.31866666666667,14.705333333333334,75.408
27,Great Britain,15.088666666666667,19.376666666666665,10.85,94.20733333333334
28,Iceland,8.481333333333334,11.662666666666667,5.3500000000000005,77.95066666666666
29,Norway,11.728000000000002,15.986666666666666,7.5200000000000005,98.86466666666666
