color,frecuencia
Signal Iduna Park (BVB),8
Arena Nationala (FCSB & Rumanía),8
Camp Nou (FC Barcelona),6
Estadio Santiago Bernabeu (Real Madrid),7
Millennium Stadium (Gales),6
Stadion Narodowy (Polonia),5
