estadio,capacidad,año,equipo,PAIS,ciudad
Erzgebirgsstadion|$Sparkassen$-Erzgebirgsstadion,15711, Aue    # FC Erzgebirge Aue,,ALEMANIA,
Fritz-Walter-Stadion,43450, Kaiserslautern    #  1. FC Kaiserslautern,,ALEMANIA,
$Coface$ Arena,33500, 2011,,ALEMANIA,
Stadio Olimpico di Roma,72698,1927,,ITALIA,   Roma 
Stadio San Nicola,58248,1990,,ITALIA, Bari 
Stadio Giuseppe Meazza|San Siro,80074,1926,,ITALIA,   Milano  
Stadio San Paolo,60240,1959,,ITALIA, Napoli  
Wembley|Wembley Stadium,90000,2007,,INGLATERRA, London
Ashburton Grove|$Emirates$ Stadium,60361,2006,,INGLATERRA,  London    # FC Arsenal
Old Trafford,76212,1910,,INGLATERRA, Manchester    # Manchester United
St. James' Park,52387,1891,,INGLATERRA,  Newcastle   # Newcastle United
Stade de France,81338, 1998,,FRANCIA, Paris (Saint-Denis)     ##   www.stadefrance.com   # fix: use Saint-Denis??
Parc des Princes,51000, 1972,,FRANCIA, Paris        
Stade Vélodrome,60031, 1937,,FRANCIA, Marseille
Stade Pierre-Mauroy,50100, 2012,,FRANCIA, Lille (Villeneuve-d'Ascq)
Stade Bollaert-Delelis|Stade Félix Bollaert-Delelis,45000, 1933,,FRANCIA, Lens
Stade de Bordeaux|Grand Stade de Bordeaux,42000, 2015,,FRANCIA, Bordeaux
Stade Geoffroy-Guichard,1931, 41_000,,FRANCIA, Saint-Etienne  
Stadium Municipal,1937,  41_000,,FRANCIA, Toulouse
Stade de Nice|$Allianz$ Riviera,2013,  35_624,,FRANCIA, Nice 
Amsterdam ArenA,51628,1996,,HOLANDA, Amsterdam   # Ajax Amsterdam
Stadion Feijenoord|De Kuip,51137,1937,,HOLANDA, Rotterdam   # Feyenoord Rotterdam
National Stadium Warszawa,56070,,,POLONIA,
PGE Arena,39150,,,POLONIA,
Municipal Stadium Wrocław,40000,,,POLONIA,
Municipal Stadium Poznań,39550,,,POLONIA,
           Samara Arena|Samara|Cosmos Arena,45000,,,RUSIA, Samara
   Nizhny Novgorod Stadium|Nizhny Novgorod,45000,,,RUSIA, Nizhny Novgorod
        Volgograd Arena|Volgograd,45000,,,RUSIA, Volgograd
     Ekaterinburg Arena|Ekaterinburg|Central Stadium,35000,,,RUSIA, Ekaterinburg
         Mordovia Arena|Mordovia,44000,,,RUSIA, Saransk
           Rostov Arena|Rostov,45000,,,RUSIA, Rostov-on-Don
      Kaliningrad Stadium|Kaliningrad|Arena Baltika,35000,,,RUSIA, Kaliningrad
            Kazan Arena|Kazan,45000,,,RUSIA, Kazan
            Fisht Stadium|Fisht|Fisht Olympic Stadium,45000,,,RUSIA, Sochi
  Saint Petersburg Stadium|Saint Petersburg|Krestovsky Stadium|Zenit Arena,67000,,,RUSIA, Saint Petersburg
         Spartak Stadium|Spartak|Otkritie Arena|Otkrytiye Arena,45000,,,RUSIA, Moscow
        Luzhniki Stadium|Luzhniki,80000,,,RUSIA, Moscow
Olympic Stadium Kiev,70050,,,UCRANIA,
Donbass Arena,51500,,,UCRANIA,
Metalist Stadium,37750,,,UCRANIA,
Arena Lviv,32990,,,UCRANIA,
