year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2017,-11.51,-11.77,-7.19,-4.8,0.76,6.62,9.86,9.67,5.68,0.75,-4.4,-8.67,FI,Finlandia
2018,-11.83,-15.86,-13.6,-2.97,5.0,7.61,13.39,10.86,6.27,-0.37,-2.22,-8.39,FI,Finlandia
2019,-15.38,-11.16,-8.38,-1.94,2.61,8.9,9.83,9.44,5.03,-1.49,-6.12,-6.42,FI,Finlandia
2020,-8.47,-8.7,-6.83,-3.36,1.32,10.0,10.69,9.46,6.19,2.52,-1.66,-6.83,FI,Finlandia
2016,-4.17,2.12,2.27,6.49,9.83,14.76,15.73,14.24,11.64,5.46,1.51,-3.46,HU,Hungría
2017,-9.31,-1.05,3.74,4.88,10.63,15.29,15.41,16.13,10.47,6.22,2.5,-0.46,HU,Hungría
2018,-0.46,-3.19,-1.01,8.93,12.89,14.72,15.9,16.85,11.31,7.37,2.97,-1.37,HU,Hungría
2019,-3.72,-0.63,3.16,6.59,9.07,15.89,15.11,16.64,10.83,6.87,5.37,0.07,HU,Hungría
2020,-4.22,1.38,1.83,5.92,8.77,14.51,15.12,16.35,11.79,7.57,2.16,0.94,HU,Hungría
2016,2.56,4.28,4.21,8.02,10.56,14.96,17.66,17.25,15.05,9.9,6.68,2.79,IT,Italia
2017,-0.76,3.74,5.74,6.97,11.62,16.65,17.87,18.57,13.05,9.93,5.47,1.57,IT,Italia
2018,3.71,1.17,3.9,8.96,12.48,15.58,18.09,18.57,15.21,11.51,7.45,2.96,IT,Italia
2019,0.23,2.91,4.61,7.31,9.1,16.18,18.44,18.44,14.97,11.72,7.6,4.6,IT,Italia
2020,2.45,3.91,4.1,7.72,11.57,14.57,17.42,18.5,15.03,9.44,6.89,3.55,IT,Italia
2016,-8.99,-0.92,-1.07,3.2,8.56,11.74,13.9,12.79,9.45,3.3,-0.59,-2.09,LT,Lituania
2017,-6.52,-4.78,0.43,1.56,6.59,10.76,12.08,12.68,9.92,5.04,1.82,-0.84,LT,Lituania
2018,-4.14,-8.28,-5.24,4.61,10.43,11.3,15.19,14.09,10.26,4.23,0.89,-2.62,LT,Lituania
2019,-6.5,-1.63,-0.32,2.76,7.49,12.94,11.99,12.59,8.38,5.82,2.69,0.18,LT,Lituania
2020,-0.04,-0.82,-0.99,1.34,5.01,13.06,12.26,13.04,9.92,7.87,3.17,-1.29,LT,Lituania
2016,7.12,5.7,5.49,8.03,10.99,14.06,16.68,16.82,14.41,12.1,7.94,6.42,PT,Portugal
2017,3.6,6.6,6.7,10.24,12.17,14.92,16.31,16.0,14.19,13.29,7.64,4.61,PT,Portugal
2018,5.11,3.61,6.87,8.55,10.26,14.02,16.02,17.35,15.49,11.29,8.46,5.82,PT,Portugal
2019,3.81,5.51,6.51,7.75,11.64,13.62,16.27,16.06,14.96,11.93,8.53,6.76,PT,Portugal
2020,5.24,6.47,7.06,9.9,13.23,13.29,17.74,16.46,14.82,11.28,8.64,5.97,PT,Portugal
2016,-6.73,0.29,1.06,6.0,8.64,14.3,14.94,14.1,10.59,4.38,-0.17,-5.62,RO,Rumania
2017,-10.64,-3.75,2.1,3.34,9.29,14.02,14.7,15.18,10.31,4.85,1.87,-1.33,RO,Rumania
2018,-3.91,-3.84,-2.03,7.35,11.48,13.78,15.24,15.84,10.29,6.13,1.21,-3.35,RO,Rumania
2019,-5.49,-2.83,0.93,5.04,9.21,15.18,14.37,15.33,10.36,5.93,5.15,-1.39,RO,Rumania
2020,-5.52,-1.47,0.98,3.5,7.83,13.57,14.7,15.33,11.65,7.81,0.93,0.36,RO,Rumania
2016,2.09,0.79,1.85,2.51,6.76,10.01,11.3,11.36,10.69,6.34,2.21,3.25,GB,Reino Unido
2017,1.41,2.44,3.75,3.75,7.45,10.31,11.04,10.85,8.92,8.13,3.17,1.9,GB,Reino Unido
2018,1.83,-0.79,0.69,4.77,6.9,9.84,11.95,11.27,8.32,6.17,4.6,3.85,GB,Reino Unido
2019,1.34,2.61,3.45,4.11,5.38,9.22,11.9,11.64,9.18,6.19,2.92,2.83,GB,Reino Unido
2020,3.22,2.26,2.08,4.12,6.11,9.76,10.4,11.9,8.8,6.53,5.21,2.21,GB,Reino Unido
2016,-5.27,-6.39,-3.54,-2.47,0.93,5.58,6.56,5.86,3.51,2.56,-2.18,-2.28,IS,Islandia
2017,-4.21,-1.99,-4.09,-2.77,2.28,3.96,6.7,5.41,4.32,1.51,-5.68,-5.61,IS,Islandia
2018,-5.3,-3.46,-3.78,-1.74,0.93,4.0,6.12,5.03,1.67,-1.08,-1.65,-3.05,IS,Islandia
2019,-5.29,-4.66,-5.2,0.94,0.67,3.77,6.82,5.14,3.3,-0.16,-3.97,-4.62,IS,Islandia
2020,-4.15,-4.72,-5.34,-1.68,0.66,4.07,5.42,5.81,1.78,0.35,-3.63,-4.31,IS,Islandia
2016,-13.11,-8.48,-5.7,-2.8,2.5,6.03,8.89,7.07,6.18,0.1,-5.5,-5.84,NO,Noruega
2017,-8.75,-9.07,-7.01,-4.42,1.01,5.67,7.95,7.14,5.77,0.69,-5.43,-8.14,NO,Noruega
2018,-10.24,-12.02,-11.52,-3.19,3.27,5.52,10.44,7.71,4.61,-0.69,-2.3,-6.64,NO,Noruega
2019,-11.0,-8.6,-7.73,-1.8,0.56,6.04,8.41,8.36,4.05,-1.72,-6.26,-5.69,NO,Noruega
2020,-6.79,-7.9,-6.71,-3.38,-0.07,7.97,7.72,7.88,4.55,1.24,-1.64,-4.58,NO,Noruega
