Germany,Belgium,Croatia,Denmark,Spain,France,Ireland,Latvia,Luxembourg,Netherlands,Sweden,Bulgaria,Slovakia,Estonia,Greece,Malta,Poland,Czech Republic,Austria,Cyprus,Slovenia,Finland,Hungary,Italy,Lituania,Portugal,Romania,Great Britain,Iceland,Norway
80.428,86.378,104.81199999999998,70.132,28.73,74.994,81.506,63.751999999999995,76.17999999999999,78.458,61.13199999999999,88.452,96.176,65.446,52.592,0.772,69.066,81.172,145.748,6.354,157.582,59.339999999999996,88.7,64.194,62.263999999999996,20.389999999999997,109.94200000000001,95.574,61.709999999999994,82.578
67.916,56.06,97.154,66.138,20.31,39.522000000000006,82.78,87.226,49.638,60.15599999999999,69.404,66.296,108.792,71.95,30.360000000000003,0.0,89.138,81.474,157.046,1.454,141.704,71.054,74.28,47.54,93.85,9.434000000000001,74.19200000000001,84.272,82.36,87.936
65.706,63.056,78.854,79.50800000000001,22.669999999999998,45.878,103.63199999999999,80.97,56.44199999999999,63.98,81.24600000000001,29.712,84.716,92.208,18.392000000000003,6.742,64.22200000000001,76.826,155.76999999999998,2.258,144.906,75.46000000000001,60.410000000000004,59.104,76.666,9.698,42.089999999999996,102.776,89.782,126.08
