year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,geoID,pais
2017,63.42,91.93,62.98,154.68,94.58,155.42,138.8,131.78,174.84,113.9,171.02,152.56,SI,Eslovenia
2018,102.61,117.04,115.64,96.75,126.98,140.81,112.9,144.08,119.71,115.89,98.07,89.33,SI,Eslovenia
2019,93.51,62.7,66.41,118.44,224.76,84.26,136.67,106.93,179.43,107.65,264.93,130.71,SI,Eslovenia
2020,23.83,77.99,79.36,72.43,109.12,213.54,155.06,216.75,203.8,235.54,41.46,124.27,SI,Eslovenia
2016,34.51,53.95,14.26,44.21,29.42,79.89,90.99,107.05,46.25,19.75,54.55,33.62,FI,Finlandia
2017,25.67,24.91,33.92,37.36,20.49,54.66,67.12,80.26,52.64,68.49,55.91,61.78,FI,Finlandia
2018,40.77,15.36,26.18,33.19,19.34,55.65,50.07,72.02,63.95,35.47,22.71,30.27,FI,Finlandia
2019,39.57,41.72,40.79,14.03,62.77,53.3,48.21,64.61,62.25,57.95,58.13,57.68,FI,Finlandia
2020,44.32,49.06,38.79,31.92,30.26,53.2,98.88,53.36,51.37,61.31,51.03,40.8,FI,Finlandia
2016,49.91,84.46,33.9,28.37,74.52,98.26,101.79,76.35,43.1,78.56,54.21,7.34,HU,Hungría
2017,20.06,30.11,29.08,54.47,52.08,65.29,64.6,51.56,83.41,49.68,52.03,52.56,HU,Hungría
2018,30.55,52.09,63.53,23.53,65.2,106.67,61.91,42.66,47.43,20.97,35.47,41.19,HU,Hungría
2019,33.93,16.2,17.59,40.33,113.85,72.08,63.63,50.25,48.19,24.04,80.88,52.47,HU,Hungría
2020,14.34,38.94,39.86,14.32,42.63,101.2,79.47,81.23,50.68,98.37,19.22,46.01,HU,Hungría
2016,71.15,89.9,65.54,51.66,98.28,77.63,56.5,49.53,72.75,86.53,104.89,23.4,IT,Italia
2017,83.22,62.94,50.91,61.22,41.51,56.7,38.24,36.86,85.39,35.14,97.7,99.55,IT,Italia
2018,67.6,85.61,99.48,41.49,73.54,52.14,38.6,68.1,48.35,98.12,68.11,63.78,IT,Italia
