estadio,capacidad,año,equipo,PAIS,ciudad
Zentralstadion|$Red Bull$ Arena, 44_199, Leipzig   #  RB Leipzig,,ALEMANIA,
Dynamo-Stadion|Rudolf-Harbig-Stadion|$Glücksgas$-Stadion, 32_066,  Dresden   # Dynamo Dresden,,ALEMANIA,
Erzgebirgsstadion|$Sparkassen$-Erzgebirgsstadion, 15_711, Aue    # FC Erzgebirge Aue,,ALEMANIA,
Fritz-Walter-Stadion, 43_450, Kaiserslautern    #  1. FC Kaiserslautern,,ALEMANIA,
$Coface$ Arena, 33_500, 2011,,ALEMANIA,
Stadio Olimpico di Roma,     72_698,1927,,ITALIA,   Roma 
Stadio San Nicola,       58_248,1990,,ITALIA, Bari 
Stadio Giuseppe Meazza|San Siro, 80_074,1926,,ITALIA,   Milano  
Stadio San Paolo,        60_240,1959,,ITALIA, Napoli  
Wembley|Wembley Stadium, 90_000,2007,,INGLATERRA, London
Ashburton Grove|$Emirates$ Stadium, 60_361,2006,,INGLATERRA,  London    # FC Arsenal
Old Trafford,    76_212,1910,,INGLATERRA, Manchester    # Manchester United
St. James' Park, 52_387,1891,,INGLATERRA,  Newcastle   # Newcastle United
Stade de France, 81_338, 1998,,FRANCIA, Paris (Saint-Denis)     ##   www.stadefrance.com   # fix: use Saint-Denis??
Parc des Princes,  51_000, 1972,,FRANCIA, Paris        
Stade Vélodrome, 60_031, 1937,,FRANCIA, Marseille
Stade Pierre-Mauroy, 50_100, 2012,,FRANCIA, Lille (Villeneuve-d'Ascq)
Stade Bollaert-Delelis|Stade Félix Bollaert-Delelis, 45_000, 1933,,FRANCIA, Lens
Stade de Bordeaux|Grand Stade de Bordeaux, 42_000, 2015,,FRANCIA, Bordeaux
Stade Geoffroy-Guichard, 1931, 41_000,,FRANCIA, Saint-Etienne  
Stadium Municipal, 1937,  41_000,,FRANCIA, Toulouse
Stade de Nice|$Allianz$ Riviera, 2013,  35_624,,FRANCIA, Nice 
Amsterdam ArenA,    51_628,1996,,HOLANDA, Amsterdam   # Ajax Amsterdam
Stadion Feijenoord|De Kuip, 51_137,1937,,HOLANDA, Rotterdam   # Feyenoord Rotterdam
National Stadium Warszawa, 56_070,,,POLONIA,
PGE Arena,  39_150,,,POLONIA,
Municipal Stadium Wrocław, 40_000,,,POLONIA,
Municipal Stadium Poznań, 39_550,,,POLONIA,
           Samara Arena|Samara|Cosmos Arena,   45_000,,,RUSIA, Samara
   Nizhny Novgorod Stadium|Nizhny Novgorod,  45_000,,,RUSIA, Nizhny Novgorod
        Volgograd Arena|Volgograd, 45_000,,,RUSIA, Volgograd
     Ekaterinburg Arena|Ekaterinburg|Central Stadium, 35_000,,,RUSIA, Ekaterinburg
         Mordovia Arena|Mordovia, 44_000,,,RUSIA, Saransk
           Rostov Arena|Rostov, 45_000,,,RUSIA, Rostov-on-Don
      Kaliningrad Stadium|Kaliningrad|Arena Baltika,  35_000,,,RUSIA, Kaliningrad
            Kazan Arena|Kazan, 45_000,,,RUSIA, Kazan
            Fisht Stadium|Fisht|Fisht Olympic Stadium, 45_000,,,RUSIA, Sochi
  Saint Petersburg Stadium|Saint Petersburg|Krestovsky Stadium|Zenit Arena, 67_000,,,RUSIA, Saint Petersburg
         Spartak Stadium|Spartak|Otkritie Arena|Otkrytiye Arena,  45_000,,,RUSIA, Moscow
        Luzhniki Stadium|Luzhniki, 80_000,,,RUSIA, Moscow
Olympic Stadium Kiev, 70_050,,,UCRANIA,
Donbass Arena, 51_500,,,UCRANIA,
Metalist Stadium, 37_750,,,UCRANIA,
Arena Lviv, 32_990,,,UCRANIA,
